date,clawhub_cumulative_skills_published,clawhub_total_skills_snapshot,clawhub_total_installs_alltime_snapshot,clawhub_total_downloads_alltime_snapshot,evomap_total_nodes,evomap_total_assets,evomap_promoted_assets,moltbook_human_verified,moltbook_total_registered,olas_gnosis_daily_active_agents,olas_mode_daily_active_agents,olas_total_daily_active_agents,langgraph_pypi_downloads,langgraph_github_stars_cumulative,crewai_pypi_downloads,crewai_github_stars_cumulative,agent_framework_pypi_downloads,agent_framework_github_stars_cumulative,n8n_npm_downloads,n8n_github_stars_cumulative,smithery_total_servers,robinhood_chain_transactions_count,robinhood_chain_total_addresses,robinhood_chain_total_transactions,robinhood_chain_total_blocks
2023-08-19,,,,,,,,,,5,0,5,,,,,,,,,,,,,
2023-08-20,,,,,,,,,,7,0,7,,,,,,,,,,,,,
2023-08-21,,,,,,,,,,7,0,7,,,,,,,,,,,,,
2023-08-22,,,,,,,,,,7,0,7,,,,,,,,,,,,,
2023-08-23,,,,,,,,,,5,0,5,,,,,,,,,,,,,
2023-08-24,,,,,,,,,,9,0,9,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,9,0,9,,,,,,,,,,,,,
2023-08-26,,,,,,,,,,7,0,7,,,,,,,,,,,,,
2023-08-27,,,,,,,,,,6,0,6,,,,,,,,,,,,,
2023-08-28,,,,,,,,,,3,0,3,,,,,,,,,,,,,
2023-08-29,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-08-30,,,,,,,,,,9,0,9,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,8,0,8,,,,,,,,,,,,,
2023-09-01,,,,,,,,,,10,0,10,,,,,,,,,,,,,
2023-09-02,,,,,,,,,,4,0,4,,,,,,,,,,,,,
2023-09-03,,,,,,,,,,6,0,6,,,,,,,,,,,,,
2023-09-04,,,,,,,,,,11,0,11,,,,,,,,,,,,,
2023-09-05,,,,,,,,,,10,0,10,,,,,,,,,,,,,
2023-09-06,,,,,,,,,,7,0,7,,,,,,,,,,,,,
2023-09-07,,,,,,,,,,16,0,16,,,,,,,,,,,,,
2023-09-08,,,,,,,,,,18,0,18,,,,,,,,,,,,,
2023-09-09,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-09-10,,,,,,,,,,13,0,13,,,,,,,,,,,,,
2023-09-11,,,,,,,,,,18,0,18,,,,,,,,,,,,,
2023-09-12,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-09-13,,,,,,,,,,20,0,20,,,,,,,,,,,,,
2023-09-14,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-09-15,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-09-16,,,,,,,,,,20,0,20,,,,,,,,,,,,,
2023-09-17,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-09-18,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-09-19,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-09-20,,,,,,,,,,19,0,19,,,,,,,,,,,,,
2023-09-21,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-09-22,,,,,,,,,,30,0,30,,,,,,,,,,,,,
2023-09-23,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-09-24,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-09-25,,,,,,,,,,16,0,16,,,,,,,,,,,,,
2023-09-26,,,,,,,,,,21,0,21,,,,,,,,,,,,,
2023-09-27,,,,,,,,,,12,0,12,,,,,,,,,,,,,
2023-09-28,,,,,,,,,,20,0,20,,,,,,,,,,,,,
2023-09-29,,,,,,,,,,13,0,13,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-01,,,,,,,,,,6,0,6,,,,,,,,,,,,,
2023-10-02,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-10-03,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-10-04,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-05,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-10-06,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-10-07,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-10-08,,,,,,,,,,7,0,7,,,,,,,,,,,,,
2023-10-09,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-10-10,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-10-11,,,,,,,,,,13,0,13,,,,,,,,,,,,,
2023-10-12,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-13,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-14,,,,,,,,,,8,0,8,,,,,,,,,,,,,
2023-10-15,,,,,,,,,,9,0,9,,,,,,,,,,,,,
2023-10-16,,,,,,,,,,12,0,12,,,,,,,,,,,,,
2023-10-17,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-10-18,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-10-19,,,,,,,,,,20,0,20,,,,,,,,,,,,,
2023-10-20,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-21,,,,,,,,,,11,0,11,,,,,,,,,,,,,
2023-10-22,,,,,,,,,,12,0,12,,,,,,,,,,,,,
2023-10-23,,,,,,,,,,13,0,13,,,,,,,,,,,,,
2023-10-24,,,,,,,,,,16,0,16,,,,,,,,,,,,,
2023-10-25,,,,,,,,,,13,0,13,,,,,,,,,,,,,
2023-10-26,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-27,,,,,,,,,,14,0,14,,,,,,,,,,,,,
2023-10-28,,,,,,,,,,10,0,10,,,,,,,,,,,,,
2023-10-29,,,,,,,,,,13,0,13,,,,,,,,,,,,,
2023-10-30,,,,,,,,,,16,0,16,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,16,0,16,,,,,,,,,,,,,
2023-11-01,,,,,,,,,,18,0,18,,,,,,,,,,,,,
2023-11-02,,,,,,,,,,18,0,18,,,,,,,,,,,,,
2023-11-03,,,,,,,,,,17,0,17,,,,,,,,,,,,,
2023-11-04,,,,,,,,,,9,0,9,,,,,,,,,,,,,
2023-11-05,,,,,,,,,,6,0,6,,,,,,,,,,,,,
2023-11-06,,,,,,,,,,11,0,11,,,,,,,,,,,,,
2023-11-07,,,,,,,,,,12,0,12,,,,,,,,,,,,,
2023-11-08,,,,,,,,,,20,0,20,,,,,,,,,,,,,
2023-11-09,,,,,,,,,,19,0,19,,,,,,,,,,,,,
2023-11-10,,,,,,,,,,15,0,15,,,,,,,,,,,,,
2023-11-11,,,,,,,,,,12,0,12,,,,,,,,,,,,,
2023-11-12,,,,,,,,,,10,0,10,,,,,,,,,,,,,
2023-11-13,,,,,,,,,,19,0,19,,,,,,,,,,,,,
2023-11-14,,,,,,,,,,20,0,20,,,,,,,,,,,,,
2023-11-15,,,,,,,,,,18,0,18,,,,,,,,,,,,,
2023-11-16,,,,,,,,,,21,0,21,,,,,,,,,,,,,
2023-11-17,,,,,,,,,,17,0,17,,,,,,,,,,,,,
